   	                                              dfde	                               UL	                            UR
-0.0241285164902484	-1.12324694008241E-7	-0.0237652774883414	-1.12301494002428E-7
-0.0241282002776509	-1.12345304299196E-7	0.0237653523559385	1.12322529011986E-7
-0.0241132998593571	-1.13320809142252E-7	0.0237653447855422	1.13297799581417E-7
-0.0241127201106129	-1.13358934874188E-7	-0.0237652750516405	-1.13335509620221E-7
-0.024112357680863	-1.13382775900719E-7	-0.0237652688990244	-1.13359316240392E-7
-0.0241118062169527	-1.13419060999893E-7	0.0237653430318776	1.13396023327007E-7
-0.0241016045581094	-1.14092409952129E-7	0.0237653821912933	1.14069423074888E-7
-0.0241013310397506	-1.14110517621972E-7	-0.0237653097454395	-1.1408710380452E-7
-0.0241011698558051	-1.14121190094663E-7	-0.0237653088774942	-1.14097769916306E-7
-0.0241008966075949	-1.14139285411265E-7	0.0237653800458826	1.14116278771996E-7
-0.0240802694779774	-1.15513557199825E-7	0.0237653921711853	1.15490332232039E-7
-0.0240798984941533	-1.15538424271904E-7	-0.0237653237528005	-1.15514785243265E-7
-0.0240796402799309	-1.15555736247744E-7	-0.0237652880459197	-1.15531919678881E-7
-0.0240792607478391	-1.15581186102086E-7	0.0237653633740448	1.15557807497445E-7
-0.0240701399346866	-1.16194477960642E-7	0.0237653587952822	1.16170953342718E-7
-0.02406958811666	-1.16231687372768E-7	-0.0237652896982683	-1.16207739551478E-7
-0.0240692304906724	-1.16255808163811E-7	-0.0237652815052105	-1.16231815536446E-7
-0.0240687029071965	-1.16291401481483E-7	0.0237653562742457	1.16267844800253E-7
-0.0240551558799493	-1.1720909279581E-7	0.0237654001767747	1.17185566878629E-7
-0.0240549834929135	-1.172208167472E-7	-0.0237653279131174	-1.17196854326048E-7
-0.0240548792808384	-1.17227905326957E-7	-0.0237653273718271	-1.17203938359833E-7
-0.0240547020506501	-1.17239960635843E-7	0.0237653986782363	1.17216421182977E-7
-0.0238770994827988	-1.2996593704292E-7	0.0237655373780484	1.29940600404926E-7
-0.0238768603569272	-1.29983970593148E-7	-0.0237654680047701	-1.29958164538281E-7
-0.0238766906049812	-1.29996773636282E-7	-0.0237654154062275	-1.29970677673863E-7
-0.0238764224415941	-1.30017002429901E-7	0.023765489778542	1.29991395466558E-7
-0.0238580537703359	-1.31410131425772E-7	0.0237654820904179	1.31384207867607E-7
-0.0238574648377722	-1.31455043445935E-7	-0.0237654118727349	-1.31428635418853E-7
-0.0238571053133959	-1.31482468365085E-7	-0.0237654068073936	-1.31456026990856E-7
-0.0238565456080906	-1.31525174968601E-7	0.0237654804477025	1.31499220107603E-7
-0.023854117912038	-1.3171057384572E-7	0.0237654278712915	1.31684290605651E-7
-0.0238540675819221	-1.31714420063282E-7	-0.0237653567079493	-1.31687654198187E-7
-0.0238540202293789	-1.317180388359E-7	-0.0237653506628449	-1.31691238891026E-7
-0.0238539241246501	-1.31725383926987E-7	0.0237654231199349	1.31699071771585E-7
-0.0238485558021259	-1.32136327530702E-7	0.0237655139852645	1.32110437966006E-7
-0.0238482195469233	-1.32162110195601E-7	-0.0237654415124341	-1.32135724762613E-7
-0.0238480239925074	-1.32177107028784E-7	-0.0237654404578756	-1.3215071262684E-7
-0.0238476922115815	-1.32202554702884E-7	0.0237655116336406	1.32176639041125E-7
-0.0238271490840153	-1.33787792199665E-7	0.0237654194063583	1.33761046947755E-7
-0.0238265775148813	-1.33832168670484E-7	-0.023765347788581	-1.3380492234599E-7
-0.0238262479665547	-1.33857761676791E-7	-0.0237653447945321	-1.33830493104674E-7
-0.0238257024618152	-1.33900136922753E-7	0.0237654169874238	1.3387335515281E-7
-0.0238245267426873	-1.33991512384534E-7	0.0237654278254452	1.3396477351756E-7
-0.023824027168877	-1.34030357510543E-7	-0.0237653556413777	-1.34003114615323E-7
