	n	sx	sy	sz
0.115481343664168	-4.56060453644503E-12	0.0107560229808366	-0.00233535817770637	0.00228356082410319
0.155206412001853	-1.45344944069893E-10	0.00221062298458642	-7.00407914406528E-4	6.84243592383052E-4
0.13331767613977	-8.53254037191214E-11	0.00532688631152458	-1.98057711119308E-5	-1.60598633173026E-5
0.133317676535234	7.10257037004001E-11	0.00532667817114901	-1.26747486053497E-5	-1.98460562946054E-5
0.155206411054148	-7.46049786688488E-11	0.00221184654635454	6.48461666730032E-4	-6.68290738147586E-4
0.115481342459508	6.12504103996284E-10	0.0107527868498265	0.00239328692425369	-0.00244691002660699
0.180615011418288	2.56123068536418E-9	-6.13355933854632E-12	-2.14447957275933E-6	-2.14200178176299E-6
0.176034729014613	-3.06333457124437E-10	7.03869650329094E-4	0.00136850953899783	-0.00136801344749738
0.102187076018633	1.33222388281771E-9	0.0180371443235823	0.00664163058503293	-0.00671134728709392
0.151155854271492	-4.92087381891535E-10	0.00227431788803712	0.00276734931446737	-0.00276429807629565
0.0938376104672733	1.76069425689556E-9	0.0249551464711165	0.0106771978998886	-0.0107454050360446
0.129902950625205	-5.83961498394035E-10	0.00579749489353279	0.00413256605474391	-0.00412304476528592
0.0907051149443837	1.54384289410955E-9	0.0283266438836233	0.0110221812080918	-0.0110686890241089
0.112806679784051	-3.59937434235933E-10	0.011898232009767	0.00386598941571732	-0.00384619284957259
0.092897682030181	8.45403661283189E-10	0.0262250393785472	0.00648264998752031	-0.00650035122617331
0.131803645631926	3.63716782852538E-11	0.0056719442298807	1.25265356780268E-4	-1.16831687965034E-4
0.0719795347978369	2.38531949387269E-11	0.0600572319061623	4.66479997042574E-4	-4.48640947814974E-4
0.123290337443198	3.10218965498636E-10	0.00787302593817425	-0.0022500777993614	0.00225701670640252
0.083446624559438	-5.29170983790207E-10	0.0380303517070346	-0.00904723567330606	0.0090761563096373
0.119756506290877	4.21463031317027E-10	0.00889848116861697	-0.00439988734434828	0.00439893081952785
0.0998403041382699	-4.93625224901229E-10	0.0194561108730813	-0.0102618749064354	0.0102804265353234
0.121307767323454	3.37620208247025E-10	0.00826966582952111	-0.00494557024674622	0.00493350276699759
0.120662051812126	-2.50344480528606E-10	0.0081203764868868	-0.00710143421110994	0.00710849550081278
0.127891044105126	1.75991082810088E-10	0.00637080085605441	-0.00380263540577027	0.00378296256724217
0.145347641210508	-6.48680178041102E-11	0.00277888088208037	-0.00370360035479957	0.00370499077355399
0.166530158583513	-3.24821269397239E-10	0.00131250243078985	-0.00122983554319781	0.00121893825214777
0.139301484414499	4.64620760835004E-11	0.00409461026710176	-0.00203426302874838	0.00201421183114036
0.173314179542534	1.79999748252208E-11	7.7045279630541E-4	-0.00154980365571277	0.00154969275041606
0.139301324479783	-4.82132596498637E-10	0.00408913187827703	-0.00213804413313864	0.00211042909247836
0.155206512560677	-2.10469707491407E-11	0.00221165140766658	-6.68220278977818E-4	6.53083821962932E-4
0.115481274964631	-4.20626060193431E-10	0.0107535741365796	-0.00243645309823885	0.00237737536162734
